<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20190902,000000,231.9300000,234.2200000,230.5000000,233.6700000,19.247.230
GAZP,D,20190903,000000,233.4000000,233.6000000,229.9600000,231.0200000,20.644.460
GAZP,D,20190904,000000,232.7000000,234.7800000,232.1800000,233.7100000,27.460.870
GAZP,D,20190905,000000,234.6400000,238.1700000,234.6400000,236.1800000,29.825.470
GAZP,D,20190906,000000,235.8000000,235.9700000,232.3800000,234.4900000,24.958.710
GAZP,D,20190909,000000,235.0100000,235.6200000,233.0000000,234.8500000,16.605.360
GAZP,D,20190910,000000,234.5000000,235.1000000,232.0200000,233.0000000,24.030.270
GAZP,D,20190911,000000,233.0300000,235.3800000,232.2000000,235.0700000,27.067.670
GAZP,D,20190912,000000,234.4000000,235.2800000,231.5100000,232.8800000,28.919.220
GAZP,D,20190913,000000,232.6000000,233.4100000,230.8000000,232.5000000,17.924.170
GAZP,D,20190916,000000,233.9200000,234.8800000,232.5700000,234.8800000,29.088.960
GAZP,D,20190917,000000,234.5900000,235.1700000,232.3600000,233.5800000,28.290.430
GAZP,D,20190918,000000,233.0000000,233.9600000,232.3000000,233.4600000,12.241.830
GAZP,D,20190919,000000,233.2000000,233.2800000,230.0600000,230.5200000,31.656.770
GAZP,D,20190920,000000,230.7500000,231.0000000,228.5000000,230.4100000,34.630.870
GAZP,D,20190923,000000,230.5100000,231.2500000,228.8700000,230.3600000,16.853.630
GAZP,D,20190924,000000,230.4000000,230.6800000,227.1900000,227.7000000,22.360.090
GAZP,D,20190925,000000,227.0500000,228.7000000,225.7600000,228.4300000,22.023.600
GAZP,D,20190926,000000,228.7400000,233.7000000,228.3100000,231.9700000,40.372.280
GAZP,D,20190927,000000,231.9500000,232.1400000,229.0100000,229.0100000,13.552.170
GAZP,D,20190930,000000,229.0300000,229.4600000,225.9000000,225.9000000,26.468.400
GAZP,D,20191001,000000,225.9900000,227.7000000,225.1700000,226.4900000,16.729.200
GAZP,D,20191002,000000,226.2000000,226.6500000,223.2500000,223.6000000,31.853.130
GAZP,D,20191003,000000,223.5500000,224.8900000,220.7900000,223.1000000,29.947.650
GAZP,D,20191004,000000,224.3000000,224.6500000,221.2400000,221.6600000,21.983.910
GAZP,D,20191007,000000,221.8600000,226.8100000,220.6800000,226.3600000,22.368.580
GAZP,D,20191008,000000,226.5500000,227.7000000,222.7100000,223.2000000,22.250.070
GAZP,D,20191009,000000,223.1000000,224.7100000,221.7200000,223.1800000,14.900.260
GAZP,D,20191010,000000,222.9900000,224.9300000,222.2700000,224.5000000,14.656.590
GAZP,D,20191011,000000,225.0100000,227.5000000,224.8200000,227.3700000,18.254.680
GAZP,D,20191014,000000,227.3800000,228.6100000,225.5000000,226.0000000,14.629.550
GAZP,D,20191015,000000,225.9900000,227.1500000,224.0600000,226.0000000,18.143.980
GAZP,D,20191016,000000,225.8500000,227.9000000,225.1100000,227.7000000,17.795.440
GAZP,D,20191017,000000,227.6600000,228.6000000,226.0000000,228.0000000,21.404.300
GAZP,D,20191018,000000,227.8800000,228.9000000,227.2000000,228.0000000,16.558.440
GAZP,D,20191021,000000,228.2400000,229.1100000,227.3100000,228.5400000,14.398.380
GAZP,D,20191022,000000,228.5900000,235.3600000,228.2800000,235.3600000,42.863.380
GAZP,D,20191023,000000,234.8600000,237.6700000,233.1600000,236.2000000,39.572.590
GAZP,D,20191024,000000,236.4600000,244.0000000,236.4600000,243.9400000,47.588.820
GAZP,D,20191025,000000,244.1700000,247.4000000,239.5000000,246.7100000,43.854.890
GAZP,D,20191028,000000,247.3400000,249.9600000,242.7000000,244.4000000,34.900.700
GAZP,D,20191029,000000,244.0300000,253.6900000,241.4000000,253.1000000,70.808.570
GAZP,D,20191030,000000,252.8500000,265.2600000,252.0100000,261.6000000,97.799.760
GAZP,D,20191031,000000,262.2900000,267.4000000,257.0000000,260.0000000,89.611.990
GAZP,D,20191101,000000,260.1100000,264.2800000,256.3500000,263.7900000,50.894.990
GAZP,D,20191105,000000,266.0200000,267.5300000,261.3100000,263.0000000,36.659.860
GAZP,D,20191106,000000,263.1100000,266.9800000,258.9100000,266.9800000,37.682.320
GAZP,D,20191107,000000,266.0100000,272.6800000,264.6600000,270.7400000,56.144.120
GAZP,D,20191108,000000,269.9000000,270.2000000,264.4500000,266.0000000,33.408.610
GAZP,D,20191111,000000,265.0000000,265.4500000,259.8000000,260.4000000,42.759.010
GAZP,D,20191112,000000,260.8200000,264.5700000,256.1300000,257.2500000,61.477.030
GAZP,D,20191113,000000,256.1100000,257.1900000,250.7900000,251.8000000,87.751.920
GAZP,D,20191114,000000,252.5500000,253.4600000,244.8000000,248.3400000,127.648.980
GAZP,D,20191115,000000,248.5000000,250.4700000,245.0000000,248.0100000,89.282.030
GAZP,D,20191118,000000,250.0100000,250.4000000,245.6200000,246.1500000,52.569.520
GAZP,D,20191119,000000,246.5000000,248.7000000,244.3200000,248.0100000,66.007.160
GAZP,D,20191120,000000,246.9400000,254.8900000,245.5800000,248.0000000,199.141.170
GAZP,D,20191121,000000,252.0000000,259.8000000,250.0100000,254.3500000,221.190.060
GAZP,D,20191122,000000,253.1200000,257.7200000,250.1300000,251.9900000,92.136.720
GAZP,D,20191125,000000,252.1200000,256.1700000,251.4600000,255.2000000,47.749.490
GAZP,D,20191126,000000,255.6000000,257.4100000,252.0100000,254.0000000,70.125.370
GAZP,D,20191127,000000,253.8000000,255.8500000,252.2500000,253.8900000,37.656.880
GAZP,D,20191128,000000,253.4800000,254.4300000,251.3500000,254.0000000,29.765.820
GAZP,D,20191129,000000,253.8900000,257.5400000,251.8600000,257.5400000,53.273.480
GAZP,D,20191202,000000,258.4500000,263.4000000,254.0500000,254.0500000,70.123.970
GAZP,D,20191203,000000,253.2000000,254.1400000,247.0900000,247.9300000,75.267.070
GAZP,D,20191204,000000,248.5000000,251.9600000,246.4000000,248.9300000,59.259.200
GAZP,D,20191205,000000,249.5000000,250.3000000,244.7700000,246.3600000,61.673.820
GAZP,D,20191206,000000,246.5000000,248.2500000,245.3900000,247.8300000,44.833.820
GAZP,D,20191209,000000,247.9800000,250.2200000,247.4000000,248.7000000,32.380.540
GAZP,D,20191210,000000,248.9000000,250.1500000,246.5000000,246.9000000,34.789.240
GAZP,D,20191211,000000,246.8400000,248.6900000,246.8400000,247.3400000,31.231.740
